Model,λ/μ,ρ/σ,AIC,BIC,Log-Likelihood
DW3,19.157416641549176,1.6504564304456004,207.46043603799293,210.32841044696323,-101.73021801899647
GM,18.37041007189131,,213.17990927903844,214.61389648352358,-105.58995463951922
IFR-GSB,19.157416641549176,1.6504564304456004,207.46043603799293,210.32841044696323,-101.73021801899647
S,2.6039803942497857,0.913748037513865,215.41550132981905,218.28347573878935,-105.70775066490953
