combination,AIC,BIC,coefficients
C,206.36361903490075,207.23159344387105,"{('lambda_', 'C'): 0.08341973261447187, ('lambda_', 'Intercept'): 2.65846725011997, ('rho_', 'Intercept'): 0.5454674888096743}"
E+C,208.22455301962069,207.09252742859098,"{('lambda_', 'C'): 0.07544850115155591, ('lambda_', 'E'): 0.024536114040284773, ('lambda_', 'Intercept'): 2.636898479978964, ('rho_', 'Intercept'): 0.5470216647856742}"
F+C,208.36318363637548,207.23115804534578,"{('lambda_', 'C'): 0.08291391335499221, ('lambda_', 'F'): 0.00023067940057521882, ('lambda_', 'Intercept'): 2.656515163779026, ('rho_', 'Intercept'): 0.5454300037835471}"
E,208.8002947971706,209.6682692061409,"{('lambda_', 'E'): 0.07414204322042656, ('lambda_', 'Intercept'): 2.7992783220453434, ('rho_', 'Intercept'): 0.486742042101876}"
F,209.1451154932136,210.0130899021839,"{('lambda_', 'F'): 0.01086778985526309, ('lambda_', 'Intercept'): 2.77313326027583, ('rho_', 'Intercept'): 0.4847361049729747}"
E+F+C,210.211069137779,207.0790435467493,"{('lambda_', 'C'): 0.07763243837468617, ('lambda_', 'E'): 0.02728423237742124, ('lambda_', 'F'): -0.0013656858825813365, ('lambda_', 'Intercept'): 2.6457928519584386, ('rho_', 'Intercept'): 0.5475221725310976}"
E+F,210.48997224442206,209.35794665339236,"{('lambda_', 'E'): 0.05662850741302469, ('lambda_', 'F'): 0.006415239780356457, ('lambda_', 'Intercept'): 2.7311935919993515, ('rho_', 'Intercept'): 0.4946671989725342}"
